Source	IslandID	TaxonOrig	GenusL69	SpeciesL69	SubspL69	SpeciesID	SubspID	Sex	Plumage	BodyL	WingL	TailL	BeakW	BeakH	LBeakL	UBeakL	N-UBkL	TarsusL	MToeL
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			20.7		22.8	15.7		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			19.5		24.3	16.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		88					23.1	15.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			20.6		22.4	15.3		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			21.4		23.1	15.4		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			19.8		22.4	15.5		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			20.2		22	14.8		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21.3		23.9	16.3		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			21.5		24.2	16.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		80			19		22.1	15.2		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			82			19.3		22.4	16.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			19		22.2	15.6		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			19.7		23.5	16.4		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			19		21.9	15.1		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	U			80			19.1		22.5	16.5		
Lack CAS	Wlf_Wnm	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	U			82			19.7		22.9	16.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			22.1		25.3	17.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			22		24.9	17.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			21.7		23.5	16		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21		23.1	15.9		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		89			21.6		24.6	17		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21		23.9	16.8		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86					23.2	15.3		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86					25.3	17.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			20		22.8	15.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87					24.2	16.4		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			19.8		23.4	16.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		89			22		24.7	16.9		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			22		23.7	16.3		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87					23.4	15.9		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85					24.3	16.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		88			21.5		24.4	17.4		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		88			22.3		24	16.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			21.2		24.2	16.4		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			21.8		24.1	16.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		86			18.6		22.9	15.8		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		86			22.5		25	16.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			21		24.4	16.9		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		89			23.2		25.9	17.5		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		85			22.9		25.1	17.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		83			19.8		25	16.8		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			20.5		24.1	16.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			20.3		23.3	16.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			20		23	16.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83					23.1	16.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81			20.7		24	16.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			20.6		23.5	16.6		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			21.4		23.6	16.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			20.7		23.7	16		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			85			21.7		24.3	16.6		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79			20.7		23.4	16.9		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			21.7		24.1	16.7		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			82			21.3		24.6	17		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80					23.7	16		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81					25.4	17.3		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			77			20.7		24	16.6		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79			20.5		22.1	15.3		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			83			19.6		23.2	15.2		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			82					24.9	17.1		
Lack CAS	Gnov_Twr	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81					22.9	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			19.1		22.5	15.9		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		80			19		21.5	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		80			21		23	16.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		82			19.9		21.2	15.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		79			19.5		22.5	15.9		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		81					22.2	15.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84					23.6	17.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			19.9		22.1	15.2		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			20.6		24.8	17.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			20.5		23.1	16.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			20.6		23.5	16.6		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		78			20.3		22.9	16.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		78			18.3		21.9	14.9		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		79			20.5		23.7	16.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		87			21.8		24.5	17.2		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			20.7		22.9	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		84			20.8		24.4	16.9		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83					23.4	16.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		78			20.4		23.7	16.6		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			19.2		22	15.2		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		84			21.7		23.3	16.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		83			19.5		23.4	17		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			21.1		22.8	16		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19.3		22.7	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			19.6		22.2	15.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19.2		22.1	15.2		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			20.3		24.7	17.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			20		23	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			21.2		24.1	16.9		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			20		23	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		77			19		22	15.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		78			19.8		23.7	16.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			20.5		23.7	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		75			18.2		21.3	15.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19.5		22.6	15.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19		21.1			
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			18.5		22.7	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			20.5		23.1	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			19.4		22.3	15.7		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			18.6		22.3	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79			18.6		21.5	15.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			17.4		20.3	16.1		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			75			19		22.4	15.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			18.2		22.2	15.7		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			17.8		20.7	14.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			77			18.7		22.9	15.7		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			19.8		23.7	16.6		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78					21.5	15		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79			18.5		22.5	16		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			84			19.5		23	16		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			20.2		21.3	14.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			77			19		22.4	16		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			75			17.5		20.7	14.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			74			18.1		22.6	16.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81			19.4		22.4	15.8		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			19.1		21.6	15.7		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			75						15.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			19.2		22.5	15.3		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81			19.4		23.6	16.4		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79					21.8	15		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81			18.9		22.2	15.5		
Lack CAS	Pnt_Abng	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			81			18.4		22.5	15.3		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		79			18.3		21.7	14.6		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		82			18.9		22.2	15.9		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		79			18.1		22	15.4		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			20		22.8	15.8		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		77			18.8		21.1	14.8		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		81			18.3		21.9	15.3		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			18.9		22.9	16.3		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		81			18.5		21.3	14.6		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			19.4		22.1	15.3		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		85			20.4		22.3	15.1		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		84			21.1		24.3	17.4		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			17.2		20.4	14		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19.6		23.2	15.9		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		76			18.2		22.2	15.1		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			18.6		21.5	15.2		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		77			18.1		22.1	14.6		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		78			17.1		20.1	13.8		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			18.9		22.9	15.7		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		77			20.4		22.8	15.1		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			19.6		21.7	15		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			18.2		21.7	15.2		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			76			19		21.4	14.1		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			18.9		21.8	15		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			75					22.9	16		
Lack CAS	Mrch_Bndl	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			77			19.2		22.7	15.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		82			20.5		22	16		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87					22.6	15.6		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		81			19.7		22.2	15.2		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			21.4		24	16.4		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		86			20.5		22	15.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		88			20.5		22.9	15.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		82					22.4	15.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		87			19.4		20.7	14.2		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		82			21		23.1	16		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			19.9		24	17.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			21.3		23	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		83			20.6		23.2	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		84			20.6		24.4	17.1		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Black		85			21		22.7	16.1		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			20.2		23	16.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		81			20.5		22.2	15.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		81			17.1		20.6	13.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		82			21.5		22.4	15.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			19.4		23.4	16.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		82			20.2		22.1	15.5		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		83			21		23.1	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		79			21.7		23.4	16.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		81			21.6		23.1	16.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		81			20.7		23	16.4		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		79			20.5		22.7	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	P. black		80			20.3		23.5	16		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			19.5		22.8	16.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			20		23	16		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			20.6		24	17.1		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			20.3		22.5	16.4		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		85			22.1		22.9	16.7		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		78			18.4		21.4	15.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		82			19.6		23	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80					22.7	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			20.3		22.3	15.4		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		83			20.7		22.3	15.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		83			22.1		23.2	16.2		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		80			20.8		23	15.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		84			21.6		23	16.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			21.6		22	15.1		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		81			22		23.2	16.3		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		83			21.5		23.2	16.7		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	M	Juv.		79			19.3		22.3	15.7		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			77			16.1		19.5	13.8		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			80			21		23.7	16.4		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			78			19.1		22.1	15.9		
Lack CAS	Snti_Jams	Geospiza magnirostris	Geospiza	magnirostris		Geo.mag	Geo.mag	F			79					23.2	16.6		
